user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S3C5385	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__	N/A	N/A	N/A	N/A	N/A	GCF_001641085.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita soesokkakensis	88.55	0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__	taxonomic classification defined by topology and ANI	N/A	GCF_007997155.1, s__Aequorivita antarctica, 95.0, 83.44, 0.76; GCF_001573155.1, s__Aequorivita aquimaris, 95.0, 83.35, 0.64; GCF_000952855.1, s__Aequorivita vladivostokensis, 95.0, 83.07, 0.64; GCA_002364215.1, s__Aequorivita sp002364215, 95.0, 82.99, 0.66; GCA_002733915.1, s__Aequorivita sp002733915, 95.0, 81.98, 0.64; GCF_900489465.1, s__Aequorivita sp900489465, 95.0, 81.55, 0.63; GCA_002715485.1, s__Aequorivita sp002715485, 95.0, 81.38, 0.64; GCF_007997135.1, s__Aequorivita lipolytica, 95.0, 81.0, 0.61; GCF_000265385.1, s__Aequorivita sublithincola, 95.0, 80.94, 0.63; GCF_000429125.1, s__Aequorivita capsosiphonis, 95.0, 79.23, 0.48; GCA_002375695.1, s__Aequorivita sp002375695, 95.0, 78.7, 0.37; GCF_006346335.1, s__Aequorivita sinensis, 95.0, 78.48, 0.34; GCF_900106795.1, s__Aequorivita viscosa, 95.0, 77.9, 0.29; GCF_004022485.1, s__Aequorivita sp004022485, 95.0, 77.68, 0.23	93.65	11	0.9877891677336748	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S3C540	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CACIAM-22H2;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	77.09	11	0.700100703305904	N/A
S3C587	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella anisa	GCF_001467525.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella anisa	99.73	0.96	GCF_001467525.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella anisa	99.73	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014109805.1, s__Legionella sp014109805, 95.0, 90.81, 0.82; GCF_001468035.1, s__Legionella tucsonensis, 95.0, 89.28, 0.78; GCF_001648595.1, s__Legionella bozemanae, 95.0, 89.2, 0.77; GCF_001467945.1, s__Legionella parisiensis, 95.0, 87.91, 0.79; GCF_003990155.1, s__Legionella sp003184185, 95.0, 82.77, 0.62; GCF_900156395.1, s__Legionella gormanii, 95.0, 82.32, 0.63; GCF_001468065.1, s__Legionella steigerwaltii, 95.0, 82.31, 0.64; GCF_014109825.1, s__Legionella sp014109825, 95.0, 81.44, 0.59; GCF_900635815.1, s__Legionella cherrii, 95.0, 81.42, 0.59; GCF_001468005.1, s__Legionella steelei, 95.0, 81.3, 0.62; GCF_000236165.1, s__Legionella dumoffii, 95.0, 80.23, 0.49; GCF_000701265.1, s__Legionella wadsworthii, 95.0, 80.02, 0.46; GCF_001467695.1, s__Legionella gratiana, 95.0, 79.61, 0.41; GCF_001465875.1, s__Legionella saoudiensis, 95.0, 79.48, 0.2; GCF_001468135.1, s__Legionella santicrucis, 95.0, 79.44, 0.39; GCF_900452415.1, s__Legionella cincinnatiensis, 95.0, 79.15, 0.4; GCF_004283175.1, s__Legionella longbeachae, 95.0, 78.86, 0.34; GCF_900637685.1, s__Legionella sainthelensi, 95.0, 78.84, 0.37; GCF_000162755.2, s__Legionella drancourtii, 95.0, 78.42, 0.23	77.67	11	N/A	N/A
S3C603	d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA9160;g__PR03;s__	N/A	N/A	N/A	N/A	N/A	GCA_003576805.1	95.0	d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA9160;g__PR03;s__PR03 sp003576805	82.12	0.61	d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA9160;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.82	11	0.9247843770271692	N/A
S3C607	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001425235.1, s__Devosia_A sp001425235, 95.0, 87.13, 0.82; GCF_000970465.2, s__Devosia_A insulae, 95.0, 86.87, 0.75; GCA_001899085.1, s__Devosia_A sp001899085, 95.0, 86.79, 0.82; GCF_001402915.1, s__Devosia_A sp001402915, 95.0, 86.22, 0.81; GCA_903842455.1, s__Devosia_A sp903842455, 95.0, 82.08, 0.62; GCA_001899075.1, s__Devosia_A sp001899075, 95.0, 80.49, 0.53; GCA_001899065.1, s__Devosia_A sp001899065, 95.0, 80.05, 0.5; GCA_004144345.1, s__Devosia_A sp004144345, 95.0, 79.99, 0.49; GCF_900119845.1, s__Devosia_A enhydra, 95.0, 79.0, 0.36; GCA_903828145.1, s__Devosia_A sp903828145, 95.0, 78.75, 0.37	82.91	11	0.9882229789989339	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S3C667	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__SOIL31;s__	N/A	N/A	N/A	N/A	N/A	GCA_001468865.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__SOIL31;s__SOIL31 sp001468865	78.93	0.43	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.32	11	0.9443124051893861	N/A
S3C716	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	N/A	N/A	N/A	N/A	N/A	GCF_009192765.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__NS-102 sp009192765	78.44	0.39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	taxonomic classification defined by topology and ANI	N/A	GCA_001899685.1, s__NS-102 sp001899685, 95.0, 77.91, 0.21	97.6	11	0.9636147457305703	N/A
S3C7253	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.88	11	0.920445640423088	N/A
S3C740	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	N/A	N/A	N/A	N/A	N/A	GCF_003634215.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__Sphingosinicella microcystinivorans	89.35	0.79	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013911755.1, s__Sphingosinicella sp013911755, 95.0, 89.84, 0.77; GCF_014199685.1, s__Sphingosinicella soli, 95.0, 86.62, 0.71	92.79	11	0.9876967563762569	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S3C745	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	N/A	N/A	N/A	N/A	N/A	GCF_001679665.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__Terricaulis sp001679665	81.01	0.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826145.1, s__Terricaulis sp902826145, 95.0, 80.33, 0.55; GCA_001464425.1, s__Terricaulis sp001464425, 95.0, 79.69, 0.47; GCF_009792355.1, s__Terricaulis silvestris, 95.0, 79.64, 0.48; GCA_002083515.1, s__Terricaulis sp002083515, 95.0, 79.63, 0.49; GCA_003242075.1, s__Terricaulis sp003242075, 95.0, 79.31, 0.45; GCF_004634425.1, s__Terricaulis sp004634425, 95.0, 79.2, 0.45; GCA_900696695.1, s__Terricaulis sp900696695, 95.0, 78.87, 0.43; GCA_014378995.1, s__Terricaulis sp014378995, 95.0, 78.78, 0.41; GCF_000974665.1, s__Terricaulis sp000974665, 95.0, 78.21, 0.32; GCA_011332235.1, s__Terricaulis sp011332235, 95.0, 77.67, 0.36; GCA_003526465.1, s__Terricaulis sp003526465, 95.0, 77.59, 0.3; GCA_002343395.1, s__Terricaulis sp002343395, 95.0, 77.36, 0.25; GCA_902826245.1, s__Terricaulis sp902826245, 95.0, 77.3, 0.26; GCA_902826035.1, s__Terricaulis sp902826035, 95.0, 77.19, 0.24	94.06	11	0.988930942929884	N/A
S3C760	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalobacterales;f__Thiohalobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalobacterales;f__Thiohalobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	25.55	11	0.8115914016689143	N/A
S3C780	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	taxonomic classification fully defined by topology	N/A	N/A	93.55	11	0.9411377288156187	N/A
S3C784	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__	N/A	N/A	N/A	N/A	N/A	GCA_011390645.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__Palsa-1233 sp011390645	78.02	0.23	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013694695.1, s__Palsa-1233 sp013694695, 95.0, 77.54, 0.21	91.36	11	0.9350977869851808	N/A
S3C820	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900170025.1, s__Nitrospira_A sp900170025, 95.0, 86.3, 0.76; GCF_000196815.1, s__Nitrospira_A defluvii_A, 95.0, 85.62, 0.75; GCA_902500715.1, s__Nitrospira_A sp902500715, 95.0, 84.78, 0.77; GCA_902500785.1, s__Nitrospira_A sp902500785, 95.0, 81.84, 0.67; GCA_009594995.1, s__Nitrospira_A sp009594995, 95.0, 80.85, 0.58; GCA_014055465.1, s__Nitrospira_A sp014055465, 95.0, 79.79, 0.5; GCA_009594865.1, s__Nitrospira_A sp009594865, 95.0, 79.73, 0.51; GCA_900696505.1, s__Nitrospira_A sp900696505, 95.0, 79.71, 0.5; GCA_009594855.1, s__Nitrospira_A sp009594855, 95.0, 79.46, 0.48; GCA_014055495.1, s__Nitrospira_A sp014055495, 95.0, 79.4, 0.47; GCA_902500995.1, s__Nitrospira_A sp902500995, 95.0, 79.34, 0.47; GCA_011525625.1, s__Nitrospira_A sp003456605, 95.0, 79.29, 0.45; GCA_013696305.1, s__Nitrospira_A sp013696305, 95.0, 78.95, 0.5; GCA_001567445.1, s__Nitrospira_A sp001567445, 95.0, 78.39, 0.34	95.49	11	0.9795093182034327	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S3C852	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.98	11	0.8858944463084738	N/A
S3C8663	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA12015;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.41	11	0.6523460475731937	N/A
S3C9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	ANI	N/A	GCA_013140985.1, s__JJ008 sp013140985, 95.0, 77.09, 0.2; GCF_002127295.1, s__JJ008 sp002127295, 95.0, 77.0, 0.25; GCA_902826165.1, s__JJ008 sp902826165, 95.0, 76.91, 0.21; GCA_001464625.1, s__JJ008 sp001464625, 95.0, 76.9, 0.22; GCA_002352145.1, s__JJ008 sp002352145, 95.0, 76.7, 0.2; GCA_002400415.1, s__JJ008 sp002400415, 95.0, 76.65, 0.2	93.55	11	0.9520160661956047	N/A
S3C904	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__	N/A	N/A	N/A	N/A	N/A	GCA_002842135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__UBA6140 sp002842135	85.35	0.77	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002842435.1, s__UBA6140 sp002842435, 95.0, 83.2, 0.71; GCA_002479405.1, s__UBA6140 sp002479405, 95.0, 82.13, 0.65; GCA_002842255.1, s__UBA6140 sp002842255, 95.0, 81.61, 0.68; GCA_002423265.1, s__UBA6140 sp002423265, 95.0, 79.1, 0.5; GCF_001704575.1, s__UBA6140 sp001704575, 95.0, 78.88, 0.46	97.16	11	0.9838067411059267	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S3C954	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	N/A	N/A	N/A	N/A	N/A	GCA_903898675.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp903898675	78.55	0.35	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900104925.1, s__Lacunisphaera sp900104925, 95.0, 78.39, 0.32; GCF_001746835.1, s__Lacunisphaera limnophila, 95.0, 78.36, 0.24; GCA_001464505.1, s__Lacunisphaera sp001464505, 95.0, 77.76, 0.23; GCF_004118375.1, s__Lacunisphaera lentus, 95.0, 77.74, 0.31; GCA_009695095.1, s__Lacunisphaera sp009695095, 95.0, 77.5, 0.21	15.8	11	0.968055819267195	N/A
S3C986	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014202975.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__Povalibacter uvarum	78.0	0.28	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.53	11	0.9521696252663805	N/A
S3C987	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__JABDAI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.91	11	0.8918710442997774	N/A
S3C989	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.29	0.89	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.29	0.89	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002356335.1, s__Mycobacterium stephanolepidis, 95.0, 93.74, 0.87; GCF_002013465.1, s__Mycobacterium sp002013465, 95.0, 87.52, 0.87; GCF_002013375.1, s__Mycobacterium sp002013375, 95.0, 87.48, 0.84; GCF_004924335.1, s__Mycobacterium salmoniphilum, 95.0, 87.43, 0.87; GCF_002013415.1, s__Mycobacterium sp002013415, 95.0, 87.37, 0.79; GCF_001456355.1, s__Mycobacterium saopaulense, 95.0, 85.55, 0.85; GCF_014204435.1, s__Mycobacterium chelonae_A, 95.0, 85.15, 0.83; GCF_002013895.1, s__Mycobacterium franklinii, 95.0, 85.11, 0.76; GCF_013449725.1, s__Mycobacterium sp013449725, 95.0, 84.52, 0.79; GCF_001605725.1, s__Mycobacterium immunogenum, 95.0, 84.26, 0.74; GCF_000069185.1, s__Mycobacterium abscessus, 95.0, 83.83, 0.74; GCF_009729205.1, s__Mycobacterium sp009729205, 95.0, 83.55, 0.76; GCF_000613185.1, s__Mycobacterium cosmeticum, 95.0, 78.48, 0.28; GCF_900637205.1, s__Mycobacterium chitae, 95.0, 78.44, 0.26; GCF_900078665.2, s__Mycobacterium houstonense, 95.0, 78.37, 0.28; GCF_002086115.1, s__Mycobacterium bacteremicum, 95.0, 78.36, 0.26; GCF_001953975.1, s__Mycobacterium sp001953975, 95.0, 78.34, 0.26; GCF_010731575.1, s__Mycobacterium monacense, 95.0, 78.34, 0.24; GCF_002101555.1, s__Mycobacterium canariasense, 95.0, 78.3, 0.26; GCF_011758805.1, s__Mycobacterium fluoranthenivorans, 95.0, 78.29, 0.26; GCF_002101965.1, s__Mycobacterium wolinskyi, 95.0, 78.26, 0.26; GCA_000762985.1, s__Mycobacterium rufum, 95.0, 78.26, 0.26; GCF_010727475.1, s__Mycobacterium mageritense, 95.0, 78.26, 0.28; GCF_001494595.1, s__Mycobacterium sp001494595, 95.0, 78.26, 0.26; GCF_014218295.1, s__Mycobacterium litorale_B, 95.0, 78.25, 0.24; GCF_004570325.1, s__Mycobacterium sp004570325, 95.0, 78.24, 0.24; GCF_001886515.1, s__Mycobacterium sp001886515, 95.0, 78.23, 0.24; GCF_001499995.1, s__Mycobacterium sp001499995, 95.0, 78.23, 0.24; GCF_002157835.1, s__Mycobacterium dioxanotrophicus, 95.0, 78.19, 0.27; GCF_001954135.1, s__Mycobacterium sp001954135, 95.0, 78.19, 0.27; GCF_000373905.1, s__Mycobacterium sp000373905, 95.0, 78.19, 0.24; GCF_001665685.1, s__Mycobacterium sp001665685, 95.0, 78.18, 0.26; GCF_010731695.1, s__Mycobacterium litorale, 95.0, 78.18, 0.26; GCF_001984215.1, s__Mycobacterium sp001984215, 95.0, 78.18, 0.23; GCF_002086485.1, s__Mycobacterium aquaticum, 95.0, 78.17, 0.27; GCF_000295855.1, s__Mycobacterium fortuitum, 95.0, 78.17, 0.27; GCF_010731815.1, s__Mycobacterium arabiense, 95.0, 78.16, 0.25; GCF_001044255.1, s__Mycobacterium chubuense, 95.8643, 78.14, 0.25; GCF_000612725.1, s__Mycobacterium austroafricanum, 95.0, 78.14, 0.25; GCF_010725885.1, s__Mycobacterium tokaiense, 95.0, 78.13, 0.25; GCF_900108565.1, s__Mycobacterium rutilum, 95.0, 78.13, 0.26; GCF_002723835.1, s__Mycobacterium sp002723835, 95.0, 78.12, 0.25; GCF_004362315.1, s__Mycobacterium sp004362315, 95.0, 78.12, 0.25; GCF_001044235.1, s__Mycobacterium chlorophenolicum, 95.8643, 78.11, 0.26; GCF_001570425.1, s__Mycobacterium brisbanense, 95.0, 78.1, 0.27; GCF_001500125.1, s__Mycobacterium sp001500125, 95.0, 78.09, 0.25; GCF_001187505.1, s__Mycobacterium goodii_B, 95.0, 78.09, 0.27; GCF_008329645.1, s__Mycobacterium grossiae, 95.0, 78.08, 0.26; GCF_002086695.1, s__Mycobacterium rhodesiae, 95.0, 78.08, 0.24; GCF_010731855.1, s__Mycobacterium anyangense, 95.0, 78.08, 0.26; GCF_002887815.1, s__Mycobacterium sp002887815, 95.0, 78.05, 0.23; GCF_001457595.1, s__Mycobacterium smegmatis, 95.0, 78.05, 0.27; GCF_008329905.1, s__Mycobacterium sp008329905, 95.0, 78.04, 0.24; GCF_001665575.1, s__Mycobacterium sp001665575, 95.0, 78.03, 0.22; GCF_001021385.1, s__Mycobacterium sp001021385, 95.0, 78.03, 0.23; GCF_900240945.1, s__Mycobacterium sp900240945, 95.0, 78.03, 0.24; GCF_011694515.1, s__Mycobacterium sp011694515, 95.0, 78.02, 0.25; GCF_000382405.1, s__Mycobacterium sp000382405, 95.0, 78.01, 0.25; GCF_002798385.1, s__Mycobacterium goodii_A, 95.0, 78.0, 0.24; GCF_001499965.1, s__Mycobacterium sp001499965, 95.0, 78.0, 0.26; GCF_002101595.1, s__Mycobacterium celatum, 95.0, 78.0, 0.24; GCF_007096635.1, s__Mycobacterium sp007096635, 95.0, 77.99, 0.22; GCF_013404075.1, s__Mycobacterium sp013404075, 95.0, 77.99, 0.24; GCF_010729895.1, s__Mycobacterium confluentis, 95.0, 77.99, 0.25; GCF_000266905.1, s__Mycobacterium chubuense_A, 95.0, 77.99, 0.24; GCF_010726645.1, s__Mycobacterium duvalii, 95.0, 77.99, 0.22; GCF_002838065.1, s__Mycobacterium sp002838065, 95.0, 77.98, 0.24; GCF_000230935.1, s__Mycobacterium rhodesiae_B, 95.0, 77.97, 0.25; GCF_008329605.1, s__Mycobacterium sp008329605, 95.0, 77.94, 0.24; GCF_001044245.1, s__Mycobacterium obuense, 95.0, 77.93, 0.25; GCF_001665535.1, s__Mycobacterium sp001665535, 95.0, 77.93, 0.22; GCA_002007745.1, s__Mycobacterium litorale_A, 95.0, 77.9, 0.25; GCF_010725725.1, s__Mycobacterium pulveris, 95.0, 77.9, 0.22; GCF_010731895.1, s__Mycobacterium helvum, 95.0, 77.88, 0.23; GCF_004354905.1, s__Mycobacterium eburneum, 95.0, 77.88, 0.26; GCF_000620625.1, s__Mycobacterium sp000620625, 95.0, 77.87, 0.25; GCF_002592005.1, s__Mycobacterium palauense, 95.0, 77.86, 0.25; GCF_001667505.1, s__Mycobacterium sp001667505, 95.0, 77.86, 0.24; GCF_010731795.1, s__Mycobacterium celeriflavum, 95.0, 77.85, 0.23; GCF_004745805.1, s__Mycobacterium sp004745805, 95.0, 77.84, 0.24; GCF_001500065.1, s__Mycobacterium sp001500065, 95.0, 77.84, 0.23; GCF_001672895.1, s__Mycobacterium sp001672895, 95.0, 77.83, 0.26; GCF_000328565.1, s__Mycobacterium sp000328565, 95.0, 77.83, 0.23; GCF_000559085.1, s__Mycobacterium aromaticivorans, 95.0, 77.82, 0.24; GCA_903862565.1, s__Mycobacterium sp903862565, 95.0, 77.82, 0.22; GCF_001667265.1, s__Mycobacterium sp001667265, 95.0, 77.82, 0.25; GCF_010726245.1, s__Mycobacterium aichiense, 95.0, 77.81, 0.24; GCF_001500025.1, s__Mycobacterium sp001500025, 95.0, 77.81, 0.22; GCF_003201655.1, s__Mycobacterium moriokaense_A, 95.0, 77.79, 0.22; GCF_000230895.2, s__Mycobacterium rhodesiae_A, 95.0, 77.78, 0.22; GCF_002553505.1, s__Mycobacterium agri, 95.0, 77.77, 0.23; GCA_903884065.1, s__Mycobacterium sp903884065, 95.0, 77.76, 0.26; GCF_002101735.1, s__Mycobacterium kyorinense, 95.0, 77.75, 0.23; GCF_001499855.1, s__Mycobacterium sp001499855, 95.0, 77.75, 0.23; GCF_010726085.1, s__Mycobacterium moriokaense, 95.0, 77.72, 0.23; GCF_003284965.1, s__Mycobacterium sp003284965, 95.0, 77.66, 0.22; GCF_010728725.1, s__Mycobacterium branderi, 95.0, 77.63, 0.24; GCF_001672775.1, s__Mycobacterium kyorinense_A, 95.0, 77.62, 0.22; GCF_002102185.1, s__Mycobacterium fragae, 95.0, 77.57, 0.21	96.21	11	N/A	N/A
